openTime,open,high,low,close,volume
1756107900000,111811.20,111830.70,111245.90,111469.70,3721.069
1756108800000,111469.70,111572.20,110893.60,111570.00,5758.226
1756109700000,111570.00,111744.00,111532.60,111613.50,1585.584
1756110600000,111613.40,111786.40,111485.40,111489.20,1318.080
1756111500000,111489.20,111650.20,111355.20,111362.10,1047.814
1756112400000,111362.10,111423.90,111215.30,111342.40,1766.475
1756113300000,111342.30,111629.40,111342.30,111430.00,1568.913
1756114200000,111430.00,111636.10,111326.70,111605.10,896.768
1756115100000,111605.00,111789.90,111563.80,111747.60,1366.068
1756116000000,111747.60,111757.60,111587.30,111620.00,787.501
1756116900000,111619.90,111679.70,111050.00,111189.10,2367.946
1756117800000,111189.20,111390.40,111003.90,111162.30,2205.660
1756118700000,111162.30,111200.00,110903.20,110958.80,1957.189
1756119600000,110958.90,111117.30,110891.00,111097.10,1340.595
1756120500000,111097.00,111136.30,110962.50,111048.70,998.741
1756121400000,111048.60,111249.90,110922.30,111073.30,1400.336
1756122300000,111073.20,111246.00,111064.70,111183.70,671.484
1756123200000,111183.70,111360.00,111037.00,111200.00,2006.597
1756124100000,111199.90,111653.00,111140.00,111652.20,1775.625
1756125000000,111652.10,111652.20,111289.90,111567.40,1307.666
1756125900000,111567.40,111575.00,111363.80,111541.50,1154.742
1756126800000,111540.70,111550.00,111290.10,111451.10,963.978
1756127700000,111451.20,111714.00,111269.60,111622.00,1150.103
1756128600000,111622.00,111671.20,110750.00,110785.60,7118.715
1756129500000,110785.70,111500.00,110532.20,111449.80,5338.943
1756130400000,111449.70,111876.00,111268.50,111781.10,4308.631
1756131300000,111781.00,112157.00,111761.90,111861.10,4336.340
1756132200000,111861.20,112191.90,111801.80,111988.90,2086.454
1756133100000,111988.80,112258.00,111965.10,112212.50,1988.042
1756134000000,112213.10,112346.00,111772.40,111953.10,2444.253
1756134900000,111953.00,112533.20,111953.00,112408.80,2529.421
1756135800000,112408.70,112480.00,112153.80,112369.70,1553.649
1756136700000,112369.30,112369.30,112066.30,112142.20,1606.670
1756137600000,112142.20,112550.00,111948.80,112540.10,2042.853
1756138500000,112540.10,112897.70,112523.70,112580.60,3074.180
1756139400000,112580.50,112769.20,112505.00,112651.40,858.280
1756140300000,112651.40,112748.00,112446.10,112446.10,1544.603
1756141200000,112446.10,112558.00,112100.00,112447.00,2503.362
1756142100000,112447.00,112764.60,112297.40,112675.40,2095.752
1756143000000,112675.40,112741.90,112307.60,112397.90,933.921
1756143900000,112397.90,112524.30,112211.40,112387.40,821.104
1756144800000,112387.40,112450.00,112234.50,112410.20,944.306
1756145700000,112410.20,112580.00,112388.00,112533.40,679.504
1756146600000,112533.30,112539.60,112194.50,112249.90,997.816
1756147500000,112249.80,112430.80,112235.20,112355.20,590.662
1756148400000,112355.30,112391.30,112102.00,112102.10,1146.061
1756149300000,112102.00,112138.40,111688.00,111924.40,3868.673
1756150200000,111924.30,111943.20,111014.40,111119.60,4816.942
