openTime,open,high,low,close,volume
1779721200000,77676.40,77887.90,77515.50,77587.20,5225.847
1779724800000,77587.20,77784.90,77471.50,77694.50,2952.467
1779728400000,77694.50,77770.00,77511.10,77523.20,2774.683
1779732000000,77523.30,77629.80,77502.90,77511.70,1224.041
1779735600000,77511.70,77515.80,77313.00,77403.30,2057.725
1779739200000,77403.40,77472.00,77172.00,77243.70,2621.954
1779742800000,77243.70,77366.70,77240.50,77340.80,1674.347
1779746400000,77340.90,77430.00,77011.30,77084.70,3533.606
1779750000000,77084.70,77338.00,77040.20,77281.50,1760.517
1779753600000,77281.50,77319.60,76532.10,76750.10,7837.287
1779757200000,76750.10,76879.20,76550.00,76717.80,4014.825
1779760800000,76717.80,76790.00,76472.60,76630.70,3663.677
1779764400000,76630.80,76685.00,76434.00,76629.00,2990.608
1779768000000,76629.00,76784.40,76569.80,76713.90,2832.751
1779771600000,76713.90,76950.00,76668.20,76887.30,2859.933
1779775200000,76887.40,77045.90,76735.20,76869.80,3362.296
1779778800000,76869.90,76886.60,76556.90,76685.10,3492.107
1779782400000,76685.00,76819.70,76652.40,76687.90,1834.031
1779786000000,76687.80,76779.20,76606.00,76641.00,2007.840
1779789600000,76640.90,77600.00,76543.80,77398.60,12291.589
1779793200000,77398.70,77477.70,77136.20,77153.90,4704.800
1779796800000,77153.80,77200.00,76847.80,77098.90,5875.831
1779800400000,77098.90,77432.60,76641.70,77199.20,10219.396
1779804000000,77199.20,78077.10,76682.30,76873.60,32872.397
1779807600000,76873.60,76983.40,76234.70,76478.20,17760.011
1779811200000,76478.20,76678.70,76171.00,76534.60,8964.023
1779814800000,76534.70,76624.90,75809.50,75909.60,15095.075
1779818400000,75909.60,76296.70,75711.00,75822.60,7810.546
1779822000000,75822.60,76080.00,75782.00,76028.30,3462.471
1779825600000,76028.40,76157.80,75960.20,76082.00,2352.054
1779829200000,76081.90,76092.30,75822.60,75864.00,1938.109
1779832800000,75864.00,75975.60,75641.20,75729.60,4011.581
1779836400000,75729.70,75962.00,75729.70,75905.50,2666.844
1779840000000,75905.60,76069.00,75854.90,76055.30,3043.727
1779843600000,76055.30,76083.90,75794.90,75846.60,2849.437
1779847200000,75846.60,75868.10,75654.80,75850.90,2802.311
1779850800000,75850.90,75940.00,75555.10,75635.60,3565.669
1779854400000,75635.60,75680.10,75277.80,75542.90,8840.360
1779858000000,75543.00,75708.60,75539.90,75676.40,3364.243
1779861600000,75676.40,75864.40,75649.10,75800.00,2659.380
1779865200000,75800.00,75940.00,75721.40,75935.00,3278.243
1779868800000,75935.00,76038.00,75800.00,75838.40,3812.843
1779872400000,75838.50,75943.70,75666.00,75875.60,3099.093
1779876000000,75875.70,76010.20,75835.00,75863.70,2498.476
1779879600000,75863.80,75992.20,75723.60,75737.90,2781.790
1779883200000,75737.90,76155.50,75541.00,75655.00,8053.742
1779886800000,75654.90,75735.60,74835.00,75054.30,20743.151
1779890400000,75054.30,75250.00,74735.70,75000.70,13749.777
1779894000000,75000.70,75485.90,74950.10,75300.00,8717.531
1779897600000,75300.00,75382.60,74961.00,75273.90,5753.912
1779901200000,75273.90,75316.80,74645.00,74838.20,8594.176
1779904800000,74838.20,75007.90,74632.00,75000.00,4699.102
1779908400000,75000.00,75077.60,74920.00,75039.90,3599.445
1779912000000,75039.80,75391.00,75022.40,75237.60,3476.208
1779915600000,75237.60,75237.60,74300.10,74439.90,10168.630
1779919200000,74440.00,74742.70,74218.20,74390.00,8980.344
