openTime,open,high,low,close,volume
1693234800000,26126.50,26185.10,26031.00,26093.30,11732.532
1693238400000,26093.40,26150.00,26084.80,26132.60,6515.146
1693242000000,26132.60,26182.80,26122.00,26129.00,6531.002
1693245600000,26129.00,26139.20,26083.80,26134.40,5733.199
1693249200000,26134.40,26144.80,25902.20,25981.60,23090.235
1693252800000,25981.70,26012.80,25960.00,25979.30,4374.083
1693256400000,25979.40,25998.70,25931.80,25967.00,3540.866
1693260000000,25966.90,26057.00,25965.30,26046.10,5222.067
1693263600000,26046.10,26170.00,26033.40,26106.50,12116.442
1693267200000,26106.50,26156.50,26069.60,26128.00,6514.042
1693270800000,26128.00,26200.00,26082.30,26091.90,9235.421
1693274400000,26092.00,26099.70,26070.10,26091.10,3082.259
1693278000000,26091.20,26094.60,26050.10,26068.30,3901.895
1693281600000,26068.40,26080.40,26033.60,26046.00,3018.938
1693285200000,26046.00,26077.90,26024.60,26050.60,4930.559
1693288800000,26050.50,26051.70,25990.70,25999.30,5561.062
1693292400000,25999.30,26037.30,25974.10,25992.00,6737.720
1693296000000,25992.10,26003.60,25932.50,25940.90,8988.825
1693299600000,25941.00,25979.80,25934.70,25978.20,5686.114
1693303200000,25978.10,25978.90,25905.20,25968.40,8096.547
1693306800000,25968.30,26038.30,25950.10,25962.20,10290.833
1693310400000,25962.20,26034.60,25951.70,26034.60,5495.726
1693314000000,26034.50,26095.00,25994.60,26036.20,8501.581
1693317600000,26036.20,27690.00,26036.20,27484.80,285384.988
1693321200000,27484.80,27547.80,27250.10,27411.40,63567.038
1693324800000,27411.40,28168.00,27337.60,27988.40,116894.951
1693328400000,27988.30,28093.80,27779.00,27880.10,47389.366
1693332000000,27880.00,28017.20,27823.90,27960.10,20881.763
1693335600000,27960.10,27985.40,27810.00,27820.00,15779.449
1693339200000,27820.00,27875.00,27550.00,27560.00,23651.176
1693342800000,27560.10,27725.00,27554.30,27651.30,13342.446
1693346400000,27651.40,27684.60,27517.50,27624.80,12005.378
1693350000000,27624.80,27769.20,27555.50,27700.10,11295.869
1693353600000,27700.10,27758.20,27611.80,27611.90,11188.567
1693357200000,27611.80,27632.10,27428.80,27542.80,16977.185
1693360800000,27542.80,27552.90,27335.00,27388.50,18611.290
1693364400000,27388.50,27417.00,27265.00,27379.30,19315.572
1693368000000,27379.20,27436.00,27379.20,27427.70,6311.072
