openTime,open,high,low,close,volume
1779718200000,77431.40,77474.10,77430.10,77435.50,152.719
1779718500000,77435.60,77559.40,77435.00,77522.60,534.857
1779718800000,77522.60,77525.00,77465.10,77525.00,328.276
1779719100000,77524.90,77588.00,77520.00,77580.50,457.757
1779719400000,77580.40,77580.40,77506.20,77538.30,279.222
1779719700000,77538.40,77549.40,77523.10,77534.60,174.694
1779720000000,77534.70,77535.00,77502.50,77535.00,326.675
1779720300000,77535.00,77743.40,77534.90,77667.50,1518.114
1779720600000,77667.60,77689.90,77624.50,77652.90,331.631
1779720900000,77652.80,77696.20,77652.80,77676.40,254.207
1779721200000,77676.40,77727.70,77640.90,77666.20,573.546
1779721500000,77666.20,77748.00,77665.80,77717.80,419.806
1779721800000,77717.70,77887.90,77667.30,77668.40,1618.645
1779722100000,77668.50,77720.40,77572.70,77655.00,813.137
1779722400000,77655.10,77655.10,77556.00,77585.70,323.981
1779722700000,77585.70,77644.70,77559.30,77562.70,233.747
1779723000000,77562.60,77648.60,77531.10,77622.90,377.950
1779723300000,77622.80,77625.10,77590.60,77622.00,109.430
1779723600000,77622.00,77646.20,77582.50,77624.20,155.544
1779723900000,77624.20,77624.20,77515.50,77571.00,333.090
1779724200000,77570.90,77586.80,77539.40,77578.70,144.802
1779724500000,77578.60,77629.40,77568.50,77587.20,122.169
1779724800000,77587.20,77608.30,77533.40,77563.30,442.659
1779725100000,77563.20,77571.80,77541.80,77541.90,89.834
1779725400000,77541.80,77560.70,77472.00,77473.90,248.731
1779725700000,77474.00,77525.60,77471.50,77501.30,348.894
1779726000000,77501.20,77597.80,77486.50,77551.60,245.730
1779726300000,77551.60,77569.30,77530.10,77549.50,157.145
1779726600000,77549.40,77563.80,77540.80,77549.40,123.100
1779726900000,77549.40,77612.80,77549.40,77594.40,143.187
1779727200000,77594.50,77655.20,77560.60,77649.40,269.165
1779727500000,77649.40,77748.40,77631.80,77748.40,303.854
1779727800000,77748.30,77784.90,77658.00,77664.20,322.846
1779728100000,77664.20,77724.40,77664.20,77694.50,257.322
1779728400000,77694.50,77770.00,77691.90,77722.90,321.636
1779728700000,77722.90,77750.20,77683.00,77717.30,506.142
1779729000000,77717.30,77717.30,77643.20,77650.60,299.881
1779729300000,77650.60,77650.70,77552.00,77616.40,451.351
1779729600000,77616.40,77617.70,77568.80,77568.80,207.938
1779729900000,77568.90,77624.30,77568.90,77624.20,106.850
1779730200000,77624.30,77624.30,77540.00,77553.20,217.427
1779730500000,77553.20,77570.40,77532.70,77552.60,110.775
1779730800000,77552.60,77552.60,77533.20,77551.20,102.861
1779731100000,77551.10,77552.50,77529.30,77533.40,125.170
1779731400000,77533.30,77547.20,77527.10,77538.70,135.679
1779731700000,77538.70,77552.50,77511.10,77523.20,188.973
1779732000000,77523.30,77584.40,77502.90,77564.70,156.321
1779732300000,77564.80,77609.60,77561.60,77606.60,153.008
1779732600000,77606.70,77629.80,77602.60,77602.60,88.811
1779732900000,77602.60,77628.60,77586.10,77586.10,90.461
1779733200000,77586.10,77599.10,77560.70,77575.20,58.280
1779733500000,77575.30,77612.10,77575.20,77612.10,57.779
1779733800000,77612.10,77612.10,77561.40,77596.00,133.505
1779734100000,77595.90,77601.80,77562.60,77595.80,94.023
1779734400000,77595.80,77595.80,77542.10,77580.40,83.482
1779734700000,77580.40,77589.00,77547.30,77573.30,132.638
1779735000000,77573.20,77596.00,77527.00,77536.00,119.306
1779735300000,77535.90,77536.00,77511.70,77511.70,56.427
1779735600000,77511.70,77515.80,77379.10,77409.20,645.873
1779735900000,77409.30,77465.00,77394.30,77398.30,145.363
1779736200000,77398.40,77465.50,77389.50,77465.40,86.028
1779736500000,77465.50,77465.50,77413.40,77458.90,120.607
1779736800000,77458.90,77470.10,77425.00,77470.00,67.236
1779737100000,77470.00,77491.40,77445.90,77486.60,90.131
1779737400000,77486.50,77491.60,77390.70,77394.40,123.971
1779737700000,77394.30,77394.40,77318.40,77318.80,334.114
1779738000000,77318.70,77376.00,77313.00,77376.00,129.783
1779738300000,77375.90,77409.40,77368.30,77399.70,108.096
1779738600000,77399.70,77438.80,77373.90,77373.90,94.800
1779738900000,77373.90,77430.00,77361.60,77403.30,111.723
1779739200000,77403.40,77447.70,77377.50,77407.40,108.403
1779739500000,77407.40,77429.90,77403.80,77421.40,67.044
1779739800000,77421.40,77426.40,77406.30,77406.40,42.165
1779740100000,77406.30,77472.00,77406.30,77472.00,101.842
1779740400000,77472.00,77472.00,77430.00,77434.80,61.165
1779740700000,77434.80,77454.00,77398.40,77399.60,118.339
1779741000000,77399.60,77439.30,77336.40,77343.10,158.233
1779741300000,77343.10,77343.40,77253.60,77305.50,452.490
1779741600000,77305.40,77336.40,77172.00,77238.80,947.079
1779741900000,77238.80,77284.00,77229.30,77230.30,169.134
1779742200000,77230.40,77288.50,77230.30,77268.80,148.588
1779742500000,77268.70,77324.40,77213.40,77243.70,247.472
1779742800000,77243.70,77311.50,77240.70,77311.50,177.899
1779743100000,77311.50,77340.00,77290.20,77306.00,102.299
1779743400000,77306.10,77335.00,77306.00,77334.80,65.967
1779743700000,77334.70,77334.80,77258.30,77298.50,98.288
1779744000000,77298.50,77310.00,77244.50,77259.60,95.490
1779744300000,77259.70,77334.80,77248.10,77323.80,136.328
1779744600000,77323.70,77331.00,77308.00,77308.00,71.128
1779744900000,77308.00,77344.70,77246.30,77292.10,347.680
1779745200000,77292.20,77328.40,77240.50,77272.20,115.402
1779745500000,77272.30,77301.60,77268.00,77299.90,81.435
1779745800000,77299.90,77326.40,77274.70,77324.10,123.025
