openTime,open,high,low,close,volume
1693233000000,0.062860,0.062950,0.062800,0.062860,31241703
1693233900000,0.062860,0.062960,0.062820,0.062950,26675771
1693234800000,0.062950,0.063000,0.062870,0.062970,27209909
1693235700000,0.062960,0.063220,0.062880,0.063140,71346490
1693236600000,0.063150,0.063470,0.063130,0.063240,103382670
1693237500000,0.063250,0.063330,0.063030,0.063240,60476313
1693238400000,0.063240,0.063540,0.063190,0.063400,71380522
1693239300000,0.063400,0.063410,0.063190,0.063260,32387449
1693240200000,0.063270,0.063350,0.063180,0.063250,28868737
1693241100000,0.063260,0.063360,0.063180,0.063180,22447642
1693242000000,0.063190,0.063360,0.063190,0.063270,18412826
1693242900000,0.063270,0.063330,0.063210,0.063280,15686608
1693243800000,0.063290,0.063360,0.063280,0.063280,9019372
1693244700000,0.063290,0.063380,0.063190,0.063200,21807049
1693245600000,0.063210,0.063260,0.063100,0.063150,26891453
1693246500000,0.063150,0.063240,0.063110,0.063220,25115357
1693247400000,0.063220,0.063230,0.063150,0.063220,16264590
1693248300000,0.063230,0.063320,0.063170,0.063300,10238284
1693249200000,0.063300,0.063320,0.063210,0.063240,13409028
1693250100000,0.063230,0.063260,0.062660,0.062950,108071793
1693251000000,0.062940,0.063080,0.062930,0.062960,41948861
1693251900000,0.062970,0.063160,0.062970,0.063140,22433315
1693252800000,0.063140,0.063220,0.063020,0.063040,27194100
1693253700000,0.063030,0.063260,0.063030,0.063240,16783112
1693254600000,0.063250,0.063370,0.063250,0.063330,26375987
1693255500000,0.063330,0.063330,0.063210,0.063230,14969284
1693256400000,0.063220,0.063300,0.063180,0.063250,19352975
1693257300000,0.063250,0.063340,0.063240,0.063340,10108903
1693258200000,0.063330,0.063390,0.063150,0.063280,23948183
1693259100000,0.063280,0.063300,0.063110,0.063180,8384227
1693260000000,0.063190,0.063280,0.063180,0.063280,11752891
1693260900000,0.063280,0.063450,0.063270,0.063410,15946482
1693261800000,0.063410,0.063430,0.063310,0.063410,10671285
1693262700000,0.063400,0.063420,0.063350,0.063380,5214984
1693263600000,0.063380,0.063470,0.063360,0.063460,15437158
1693264500000,0.063460,0.063660,0.063430,0.063550,51841671
1693265400000,0.063550,0.063560,0.063440,0.063450,18527363
1693266300000,0.063450,0.063470,0.063410,0.063420,7496803
1693267200000,0.063410,0.063570,0.063410,0.063490,21876765
1693268100000,0.063490,0.063510,0.063340,0.063390,16339771
1693269000000,0.063380,0.063480,0.063340,0.063440,14061634
1693269900000,0.063440,0.063570,0.063430,0.063540,16873027
1693270800000,0.063540,0.063580,0.063490,0.063550,19498060
1693271700000,0.063560,0.063880,0.063540,0.063540,72097458
1693272600000,0.063540,0.063670,0.063530,0.063570,16190849
1693273500000,0.063570,0.063600,0.063410,0.063440,17196396
1693274400000,0.063440,0.063460,0.063280,0.063290,16007011
1693275300000,0.063290,0.063370,0.063290,0.063340,6893654
1693276200000,0.063340,0.063370,0.063200,0.063270,12123607
1693277100000,0.063260,0.063270,0.063200,0.063260,11066667
1693278000000,0.063260,0.063260,0.063050,0.063100,16344347
1693278900000,0.063100,0.063160,0.063040,0.063090,15210737
1693279800000,0.063090,0.063220,0.063080,0.063210,10655384
1693280700000,0.063220,0.063260,0.063200,0.063220,7250012
1693281600000,0.063220,0.063260,0.063140,0.063200,45554866
1693282500000,0.063200,0.063280,0.063200,0.063270,12172578
1693283400000,0.063270,0.063300,0.063200,0.063200,10567424
1693284300000,0.063200,0.063250,0.063190,0.063200,8287479
1693285200000,0.063200,0.063230,0.063160,0.063220,4030946
1693286100000,0.063210,0.063300,0.063200,0.063240,8607879
1693287000000,0.063230,0.063270,0.063180,0.063270,6953808
1693287900000,0.063260,0.063290,0.063220,0.063230,8491730
1693288800000,0.063230,0.063250,0.063110,0.063140,32537230
1693289700000,0.063130,0.063180,0.063020,0.063050,21211960
1693290600000,0.063050,0.063090,0.062910,0.063070,32033133
1693291500000,0.063070,0.063080,0.062890,0.062950,27649002
1693292400000,0.062950,0.063020,0.062920,0.062970,54118090
1693293300000,0.062980,0.063080,0.062970,0.063070,11312651
1693294200000,0.063060,0.063100,0.062930,0.062980,25944226
