openTime,open,high,low,close,volume
1693234800000,0.062950,0.063470,0.062870,0.063240,262415382
1693238400000,0.063240,0.063540,0.063180,0.063180,155084350
1693242000000,0.063190,0.063380,0.063190,0.063200,64925855
1693245600000,0.063210,0.063320,0.063100,0.063300,78509684
1693249200000,0.063300,0.063320,0.062660,0.063140,185862997
1693252800000,0.063140,0.063370,0.063020,0.063230,85322483
1693256400000,0.063220,0.063390,0.063110,0.063180,61794288
1693260000000,0.063190,0.063450,0.063180,0.063380,43585642
1693263600000,0.063380,0.063660,0.063360,0.063420,93302995
1693267200000,0.063410,0.063570,0.063340,0.063540,69151197
1693270800000,0.063540,0.063880,0.063410,0.063440,124982763
1693274400000,0.063440,0.063460,0.063200,0.063260,46090939
1693278000000,0.063260,0.063260,0.063040,0.063220,49460480
1693281600000,0.063220,0.063300,0.063140,0.063200,76582347
1693285200000,0.063200,0.063300,0.063160,0.063230,28084363
1693288800000,0.063230,0.063250,0.062890,0.062950,113431325
1693292400000,0.062950,0.063100,0.062890,0.062960,105888562
1693296000000,0.062960,0.063010,0.062820,0.062910,66306795
1693299600000,0.062900,0.062960,0.062720,0.062820,62548934
1693303200000,0.062820,0.062830,0.062360,0.062690,178870314
1693306800000,0.062690,0.062830,0.062480,0.062570,84980378
1693310400000,0.062570,0.062740,0.062450,0.062740,77044135
1693314000000,0.062730,0.062870,0.062600,0.062740,72199327
1693317600000,0.062740,0.065600,0.062740,0.064920,2161515176
1693321200000,0.064910,0.068600,0.064610,0.066910,2976865029
1693324800000,0.066910,0.067970,0.066620,0.066970,1076777255
1693328400000,0.066960,0.067130,0.066290,0.066780,485631609
1693332000000,0.066780,0.067280,0.066740,0.066810,295898981
1693335600000,0.066810,0.067040,0.066540,0.066910,203745527
1693339200000,0.066910,0.067260,0.066390,0.066540,286570646
1693342800000,0.066540,0.066860,0.066460,0.066670,144112033
1693346400000,0.066670,0.067020,0.066450,0.066820,151685937
1693350000000,0.066830,0.066870,0.065960,0.066360,270574505
1693353600000,0.066370,0.066450,0.065880,0.065960,226593950
1693357200000,0.065970,0.066050,0.065360,0.065740,279294804
1693360800000,0.065740,0.065840,0.065450,0.065640,121206370
1693364400000,0.065640,0.065640,0.065130,0.065550,191037641
1693368000000,0.065550,0.065690,0.065440,0.065660,71470283
1693371600000,0.065660,0.065740,0.065550,0.065720,80806572
1693375200000,0.065720,0.065720,0.065300,0.065350,78463690
1693378800000,0.065350,0.065630,0.065330,0.065540,124336864
1693382400000,0.065540,0.065730,0.065370,0.065600,145254334
1693386000000,0.065600,0.065610,0.065090,0.065300,221630024
1693389600000,0.065300,0.065460,0.065200,0.065450,54418735
1693393200000,0.065440,0.065450,0.065090,0.065200,99758222
1693396800000,0.065190,0.065380,0.064880,0.065320,245299952
1693400400000,0.065310,0.065960,0.064910,0.065440,471389416
1693404000000,0.065450,0.065520,0.064200,0.064700,482536550
1693407600000,0.064700,0.065140,0.064400,0.064900,262616204
1693411200000,0.064910,0.065350,0.064770,0.065280,179918233
1693414800000,0.065280,0.065560,0.065180,0.065340,120088688
1693418400000,0.065340,0.065460,0.065120,0.065420,97782742
1693422000000,0.065430,0.065430,0.065250,0.065250,67213499
1693425600000,0.065260,0.065600,0.065220,0.065580,64373605
1693429200000,0.065580,0.065690,0.065450,0.065530,87106565
1693432800000,0.065530,0.065670,0.065490,0.065590,60131295
1693436400000,0.065590,0.065880,0.065580,0.065830,93617475
1693440000000,0.065830,0.065830,0.065450,0.065500,94825044
1693443600000,0.065500,0.065510,0.065200,0.065260,87401673
1693447200000,0.065260,0.065420,0.065260,0.065360,40020339
1693450800000,0.065370,0.065520,0.065350,0.065450,84570570
1693454400000,0.065450,0.065740,0.065450,0.065690,134030874
1693458000000,0.065690,0.065920,0.065560,0.065910,98988828
1693461600000,0.065910,0.066190,0.065620,0.066030,176979931
1693465200000,0.066020,0.066670,0.066020,0.066530,435111900
1693468800000,0.066520,0.066700,0.066420,0.066550,301966305
1693472400000,0.066560,0.066570,0.066030,0.066210,202921123
1693476000000,0.066220,0.066450,0.066200,0.066390,103380687
1693479600000,0.066380,0.067000,0.066340,0.066660,434130605
1693483200000,0.066670,0.066740,0.066120,0.066580,257529278
1693486800000,0.066590,0.066610,0.065970,0.066190,272858679
1693490400000,0.066190,0.066260,0.065700,0.066130,364044822
1693494000000,0.066130,0.066140,0.064580,0.065310,555245855
1693497600000,0.065320,0.065470,0.063600,0.063750,819436611
1693501200000,0.063760,0.064120,0.062530,0.064060,637663513
1693504800000,0.064050,0.064300,0.063940,0.064060,224350015
1693508400000,0.064050,0.064130,0.063470,0.063780,317137299
1693512000000,0.063770,0.063880,0.063340,0.063530,208165633
1693515600000,0.063530,0.063550,0.062700,0.063100,369547315
1693519200000,0.063110,0.063700,0.062800,0.063700,244270076
1693522800000,0.063690,0.063960,0.063620,0.063760,153984417
1693526400000,0.063750,0.064080,0.063670,0.063930,130225723
1693530000000,0.063930,0.063970,0.063620,0.063630,108405775
1693533600000,0.063640,0.064050,0.063630,0.063840,218155592
1693537200000,0.063840,0.064090,0.063710,0.063920,65030447
1693540800000,0.063920,0.064020,0.063730,0.063750,59917869
1693544400000,0.063750,0.063840,0.063620,0.063670,56590033
1693548000000,0.063680,0.063780,0.063300,0.063460,230244066
1693551600000,0.063460,0.063640,0.063400,0.063550,75289955
1693555200000,0.063540,0.063650,0.063370,0.063520,75153402
1693558800000,0.063530,0.063870,0.063440,0.063720,197376514
1693562400000,0.063720,0.063900,0.063660,0.063680,84408611
1693566000000,0.063680,0.064000,0.063610,0.063960,88545441
1693569600000,0.063960,0.064270,0.063790,0.063990,198943559
1693573200000,0.063990,0.064050,0.063430,0.063860,219099962
1693576800000,0.063850,0.063910,0.062960,0.063310,327563264
1693580400000,0.063310,0.063730,0.062880,0.063350,259358765
1693584000000,0.063350,0.063620,0.063160,0.063170,158529306
1693587600000,0.063160,0.063310,0.062210,0.062690,569837086
1693591200000,0.062690,0.063510,0.062650,0.063130,208833635
1693594800000,0.063130,0.063340,0.062870,0.063270,139381784
1693598400000,0.063280,0.064010,0.063230,0.063740,200995659
1693602000000,0.063740,0.063760,0.063240,0.063530,155871984
1693605600000,0.063520,0.063650,0.063330,0.063580,106529517
1693609200000,0.063570,0.063950,0.063500,0.063840,97902673
1693612800000,0.063830,0.064010,0.063520,0.063760,170049479
1693616400000,0.063760,0.063900,0.063600,0.063660,65518813
1693620000000,0.063670,0.063740,0.063520,0.063540,53212010
1693623600000,0.063540,0.063730,0.063500,0.063700,41454878
1693627200000,0.063690,0.063860,0.063590,0.063860,56149421
1693630800000,0.063860,0.063930,0.063590,0.063620,93712555
1693634400000,0.063610,0.063810,0.063090,0.063400,175290052
1693638000000,0.063400,0.063590,0.063240,0.063390,116693553
1693641600000,0.063390,0.063510,0.063040,0.063100,126778353
1693645200000,0.063110,0.063430,0.063000,0.063350,101918352
1693648800000,0.063340,0.063500,0.063270,0.063380,96386775
1693652400000,0.063380,0.063510,0.063310,0.063390,55259172
1693656000000,0.063390,0.063440,0.063260,0.063270,46673258
1693659600000,0.063270,0.063500,0.063040,0.063380,117059615
1693663200000,0.063380,0.064990,0.063140,0.063880,834856557
1693666800000,0.063870,0.063980,0.063680,0.063710,199294969
1693670400000,0.063710,0.063910,0.063540,0.063690,121175534
1693674000000,0.063690,0.063700,0.063020,0.063150,210320911
1693677600000,0.063150,0.063220,0.062510,0.063140,251943650
1693681200000,0.063140,0.063360,0.063130,0.063230,67105445
1693684800000,0.063230,0.063370,0.063130,0.063350,41824242
1693688400000,0.063350,0.063440,0.063260,0.063260,38732557
1693692000000,0.063270,0.063490,0.063210,0.063460,45458459
1693695600000,0.063470,0.063550,0.063370,0.063450,42228404
1693699200000,0.063450,0.063520,0.063260,0.063500,62413936
1693702800000,0.063500,0.063660,0.063350,0.063370,102720602
1693706400000,0.063370,0.063470,0.063340,0.063430,37814701
1693710000000,0.063440,0.063680,0.063370,0.063600,88209832
1693713600000,0.063590,0.063620,0.063450,0.063450,30979915
1693717200000,0.063460,0.063680,0.063460,0.063620,45215288
1693720800000,0.063610,0.063720,0.063530,0.063690,46149213
1693724400000,0.063690,0.063700,0.063490,0.063640,44392701
1693728000000,0.063630,0.063650,0.063260,0.063290,59468925
1693731600000,0.063290,0.063460,0.063240,0.063270,44668807
1693735200000,0.063270,0.063380,0.063200,0.063340,38330991
1693738800000,0.063340,0.063360,0.063200,0.063300,40979363
1693742400000,0.063300,0.063500,0.063080,0.063190,131376496
1693746000000,0.063180,0.063300,0.062940,0.063190,89098598
1693749600000,0.063190,0.063320,0.063120,0.063230,50354988
1693753200000,0.063230,0.063270,0.063100,0.063230,59170781
1693756800000,0.063240,0.063360,0.062700,0.062910,161048392
1693760400000,0.062900,0.063050,0.062810,0.063040,67531564
1693764000000,0.063040,0.063440,0.063010,0.063260,99698474
1693767600000,0.063270,0.063420,0.063180,0.063290,47925133
1693771200000,0.063290,0.063380,0.063080,0.063240,61742602
1693774800000,0.063250,0.063290,0.062870,0.062920,47322350
1693778400000,0.062910,0.063060,0.062820,0.063000,78932452
1693782000000,0.062990,0.063230,0.062920,0.063130,68867207
1693785600000,0.063130,0.063360,0.063110,0.063250,59047877
1693789200000,0.063260,0.063360,0.063020,0.063160,74056172
1693792800000,0.063160,0.063550,0.063110,0.063400,74068280
1693796400000,0.063410,0.063810,0.063320,0.063360,242423779
1693800000000,0.063360,0.063590,0.063280,0.063380,82863405
1693803600000,0.063370,0.063410,0.063010,0.063050,69998622
1693807200000,0.063050,0.063270,0.063010,0.063120,59111178
1693810800000,0.063120,0.063310,0.063100,0.063230,134618779
1693814400000,0.063230,0.063330,0.063170,0.063300,48145103
1693818000000,0.063300,0.063330,0.063090,0.063180,79801335
1693821600000,0.063170,0.063340,0.063110,0.063300,85406814
1693825200000,0.063300,0.063310,0.063040,0.063100,72387734
1693828800000,0.063110,0.063170,0.062880,0.062990,104008798
1693832400000,0.062980,0.063460,0.062880,0.063210,128536164
1693836000000,0.063200,0.063310,0.063010,0.063090,108524531
1693839600000,0.063100,0.063260,0.062500,0.062870,287968434
1693843200000,0.062870,0.063000,0.062740,0.062990,77165310
1693846800000,0.062990,0.063240,0.062870,0.063200,85772908
1693850400000,0.063210,0.063280,0.063040,0.063180,50676841
1693854000000,0.063180,0.063190,0.062910,0.063170,42890988
1693857600000,0.063160,0.063220,0.062910,0.063010,42339147
1693861200000,0.063010,0.063040,0.061980,0.062270,205296635
1693864800000,0.062270,0.062930,0.062180,0.062910,154177846
1693868400000,0.062900,0.063280,0.062830,0.063230,102476669
1693872000000,0.063230,0.063260,0.062910,0.062940,89506815
1693875600000,0.062940,0.063250,0.062820,0.063060,76923087
1693879200000,0.063070,0.063540,0.063050,0.063190,288974873
1693882800000,0.063190,0.063230,0.062880,0.063210,142462308
1693886400000,0.063220,0.063500,0.063220,0.063470,77679025
1693890000000,0.063470,0.063970,0.063460,0.063770,211493817
1693893600000,0.063760,0.063970,0.063560,0.063880,235551759
1693897200000,0.063890,0.064330,0.063810,0.064050,383557532
1693900800000,0.064050,0.064200,0.063320,0.063820,302463190
1693904400000,0.063830,0.064110,0.063780,0.063970,119714700
1693908000000,0.063980,0.064170,0.063880,0.063980,92664938
1693911600000,0.063970,0.064080,0.063810,0.064040,91674033
1693915200000,0.064030,0.064150,0.063660,0.064150,180774711
1693918800000,0.064140,0.064160,0.063720,0.063760,150218218
1693922400000,0.063760,0.063860,0.063530,0.063740,185014310
1693926000000,0.063740,0.064240,0.063700,0.063970,255370909
1693929600000,0.063970,0.064180,0.063830,0.063830,174920273
1693933200000,0.063840,0.064010,0.063670,0.063900,104762009
1693936800000,0.063900,0.064050,0.063830,0.063990,79624336
1693940400000,0.063980,0.064120,0.063740,0.063740,114041746
1693944000000,0.063730,0.063890,0.063620,0.063840,101794568
1693947600000,0.063830,0.064010,0.063790,0.063820,59795875
1693951200000,0.063830,0.063950,0.063770,0.063930,40366455
1693954800000,0.063920,0.064060,0.063880,0.064000,59808291
1693958400000,0.064000,0.064200,0.063880,0.064180,115479845
1693962000000,0.064190,0.064610,0.064110,0.064210,162509005
1693965600000,0.064220,0.064540,0.064100,0.064510,96209137
1693969200000,0.064510,0.064580,0.064100,0.064170,346584445
1693972800000,0.064160,0.064170,0.063810,0.063910,90116360
1693976400000,0.063910,0.063950,0.063730,0.063800,74163723
1693980000000,0.063790,0.063990,0.063740,0.063890,214739052
1693983600000,0.063900,0.063980,0.063810,0.063830,52958056
1693987200000,0.063840,0.063950,0.063750,0.063930,48999759
1693990800000,0.063920,0.064080,0.063830,0.063990,56670822
1693994400000,0.063990,0.064100,0.063800,0.063820,80870307
1693998000000,0.063830,0.063970,0.063760,0.063810,68891018
1694001600000,0.063810,0.063950,0.063650,0.063800,82723587
1694005200000,0.063800,0.063960,0.063660,0.063850,110336552
1694008800000,0.063840,0.063840,0.063030,0.063320,416695070
1694012400000,0.063310,0.063400,0.063050,0.063220,124203880
1694016000000,0.063220,0.063820,0.063020,0.063070,254775929
1694019600000,0.063060,0.064110,0.062380,0.063690,525631996
1694023200000,0.063690,0.064000,0.063160,0.063240,283824975
1694026800000,0.063240,0.063360,0.063090,0.063210,78802087
1694030400000,0.063210,0.063390,0.063170,0.063220,55108943
1694034000000,0.063230,0.063560,0.063210,0.063540,36365922
1694037600000,0.063550,0.063640,0.063440,0.063580,61686488
1694041200000,0.063570,0.063640,0.063490,0.063600,43183508
1694044800000,0.063610,0.063650,0.063440,0.063610,64911095
1694048400000,0.063610,0.063700,0.063480,0.063660,56880664
1694052000000,0.063660,0.063810,0.063610,0.063640,58624556
