openTime,open,high,low,close,volume
1779721200000,2127.55,2137.99,2121.63,2126.00,173938.582
1779724800000,2126.01,2141.60,2123.88,2135.50,141021.006
1779728400000,2135.49,2139.99,2127.22,2127.82,92340.726
1779732000000,2127.82,2133.12,2125.52,2125.90,50108.703
1779735600000,2125.90,2126.05,2115.42,2120.41,83520.747
1779739200000,2120.41,2122.45,2105.81,2107.49,128311.788
1779742800000,2107.49,2111.92,2106.62,2109.85,57858.905
1779746400000,2109.85,2114.75,2101.09,2102.59,124471.588
1779750000000,2102.59,2112.76,2101.26,2111.64,62112.285
1779753600000,2111.64,2112.95,2083.43,2096.58,230122.777
1779757200000,2096.58,2099.44,2086.56,2093.36,159000.661
1779760800000,2093.36,2094.87,2083.39,2088.00,109412.336
1779764400000,2088.00,2093.59,2083.48,2092.48,73685.768
1779768000000,2092.49,2095.66,2087.80,2092.74,66856.742
1779771600000,2092.74,2102.72,2090.90,2099.82,82241.568
1779775200000,2099.82,2103.90,2093.88,2100.81,69774.962
1779778800000,2100.81,2101.62,2088.63,2094.40,168219.002
1779782400000,2094.40,2099.39,2094.00,2096.23,36589.102
1779786000000,2096.24,2098.82,2092.94,2095.67,46668.111
1779789600000,2095.67,2136.84,2093.00,2126.79,469037.419
1779793200000,2126.79,2130.00,2117.43,2120.00,199279.485
1779796800000,2119.99,2126.40,2110.03,2125.47,182325.324
1779800400000,2125.46,2130.82,2108.30,2124.48,248297.388
1779804000000,2124.48,2139.66,2104.00,2108.17,535764.715
1779807600000,2108.18,2111.39,2076.46,2086.14,554919.846
1779811200000,2086.14,2089.00,2072.27,2078.53,349817.373
1779814800000,2078.54,2083.00,2053.00,2069.90,470899.915
1779818400000,2069.90,2081.25,2065.73,2067.89,157837.088
1779822000000,2067.89,2076.19,2064.56,2073.65,64939.733
1779825600000,2073.65,2077.80,2072.83,2077.48,46261.164
1779829200000,2077.48,2077.90,2068.19,2072.00,52082.872
1779832800000,2072.00,2075.74,2064.59,2068.00,58551.088
1779836400000,2068.00,2076.09,2067.99,2072.99,43867.727
1779840000000,2073.00,2083.54,2072.79,2082.31,88130.491
1779843600000,2082.31,2083.05,2070.78,2073.48,56732.481
1779847200000,2073.48,2075.28,2067.80,2075.28,71595.230
1779850800000,2075.28,2079.40,2067.48,2068.80,76500.165
1779854400000,2068.79,2072.25,2055.00,2071.17,157717.350
1779858000000,2071.17,2078.30,2070.53,2076.34,77115.208
1779861600000,2076.34,2080.57,2073.74,2078.80,62343.897
1779865200000,2078.80,2083.34,2075.00,2082.66,64169.752
1779868800000,2082.67,2096.13,2082.54,2083.99,208209.260
1779872400000,2083.98,2086.84,2077.10,2082.32,112675.632
1779876000000,2082.33,2087.03,2078.27,2078.61,60419.709
1779879600000,2078.61,2084.34,2077.50,2079.58,74087.848
1779883200000,2079.57,2096.61,2072.39,2077.74,245529.503
1779886800000,2077.73,2079.73,2051.00,2063.74,484558.763
1779890400000,2063.74,2071.20,2053.55,2061.66,237078.237
1779894000000,2061.65,2079.60,2060.25,2070.86,246669.915
1779897600000,2070.86,2073.79,2059.10,2069.32,130654.581
1779901200000,2069.33,2069.56,2043.43,2051.35,279493.405
1779904800000,2051.35,2056.09,2041.64,2055.77,168538.217
1779908400000,2055.77,2060.67,2053.56,2056.84,69704.542
1779912000000,2056.85,2065.99,2056.30,2062.38,82478.129
1779915600000,2062.38,2062.38,2013.98,2020.09,442588.392
1779919200000,2020.09,2034.08,2015.00,2024.34,249829.706
1779922800000,2024.33,2029.29,2016.93,2023.70,174494.926
1779926400000,2023.70,2028.47,2019.71,2027.22,95231.315
1779930000000,2027.22,2028.26,2010.25,2019.46,202620.510
1779933600000,2019.47,2021.18,2013.88,2016.70,89150.920
