openTime,open,high,low,close,volume
1756112400000,4597.74,4612.95,4568.07,4611.14,262057.456
1756116000000,4611.13,4611.14,4518.00,4542.72,518039.482
1756119600000,4542.72,4599.00,4542.00,4598.00,282489.703
1756123200000,4597.99,4644.99,4583.27,4644.83,370968.510
1756126800000,4644.84,4661.39,4590.52,4627.81,608788.545
1756130400000,4627.81,4683.26,4617.23,4657.57,434246.882
1756134000000,4657.57,4667.38,4603.76,4610.31,285707.741
1756137600000,4610.31,4644.71,4590.02,4593.78,295559.591
1756141200000,4593.78,4598.91,4562.42,4585.23,297808.827
1756144800000,4585.22,4595.51,4568.85,4572.93,156887.132
1756148400000,4572.94,4576.32,4413.03,4418.75,884736.891
1756152000000,4418.77,4444.20,4331.15,4349.10,1068342.795
1756155600000,4349.10,4385.23,4336.90,4348.11,379955.681
1756159200000,4348.11,4414.78,4348.11,4390.31,271634.932
1756162800000,4390.30,4390.30,4351.90,4374.25,218119.577
1756166400000,4374.25,4393.18,4318.01,4329.79,462200.098
1756170000000,4329.79,4421.29,4310.00,4418.83,392628.067
1756173600000,4418.83,4449.55,4386.64,4394.51,311354.884
1756177200000,4394.50,4406.26,4372.00,4400.50,187911.834
1756180800000,4400.52,4440.51,4400.52,4432.33,187493.624
1756184400000,4432.33,4446.47,4419.20,4428.18,119767.815
1756188000000,4428.18,4440.00,4403.71,4412.37,175383.837
1756191600000,4412.32,4453.78,4391.61,4427.16,270125.655
1756195200000,4427.15,4444.57,4403.00,4418.00,159530.709
1756198800000,4418.01,4439.99,4406.00,4417.85,128048.914
1756202400000,4417.85,4448.69,4416.02,4438.98,136072.893
1756206000000,4438.98,4465.00,4405.85,4425.57,224895.934
1756209600000,4425.57,4535.56,4403.01,4494.85,794196.027
1756213200000,4494.86,4518.00,4433.83,4478.42,605024.383
1756216800000,4478.43,4558.39,4450.08,4550.31,480789.505
1756220400000,4550.31,4576.31,4501.09,4516.17,505352.753
1756224000000,4516.16,4554.14,4494.19,4552.00,282051.471
1756227600000,4552.01,4557.03,4502.00,4519.28,253073.260
1756231200000,4519.29,4562.78,4518.72,4545.61,176169.711
1756234800000,4545.60,4595.73,4524.59,4593.84,280952.044
1756238400000,4593.82,4609.79,4567.00,4582.68,230692.455
1756242000000,4582.67,4606.35,4559.50,4602.88,137128.407
1756245600000,4602.88,4607.98,4575.35,4599.26,115133.075
1756249200000,4599.26,4632.92,4587.61,4598.49,217146.360
1756252800000,4598.50,4600.00,4562.16,4568.52,159468.853
1756256400000,4568.53,4572.88,4538.00,4560.81,193762.693
1756260000000,4560.82,4587.56,4544.32,4575.39,154707.777
1756263600000,4575.39,4625.00,4544.24,4601.07,251027.805
1756267200000,4601.08,4641.77,4595.39,4626.80,238020.971
1756270800000,4626.80,4643.93,4607.74,4612.01,158759.354
1756274400000,4612.01,4612.47,4581.05,4584.77,179726.750
1756278000000,4584.77,4590.23,4557.06,4578.59,199508.004
1756281600000,4578.59,4595.26,4553.00,4592.82,177902.701
1756285200000,4592.82,4618.76,4583.91,4586.04,224182.941
1756288800000,4586.05,4611.81,4567.09,4579.21,154912.554
1756292400000,4579.21,4612.93,4579.21,4606.37,94848.320
1756296000000,4606.37,4623.33,4576.01,4613.27,238007.900
1756299600000,4613.26,4657.80,4572.90,4593.00,520154.917
1756303200000,4593.00,4662.50,4581.00,4611.18,470208.460
1756306800000,4611.19,4658.00,4605.52,4655.31,266276.336
1756310400000,4655.31,4655.92,4603.26,4628.43,264189.257
1756314000000,4628.43,4645.00,4607.60,4629.58,128358.720
1756317600000,4629.58,4641.95,4586.00,4589.25,151022.711
1756321200000,4589.26,4597.96,4530.01,4563.23,366434.688
1756324800000,4563.23,4612.85,4506.35,4592.87,565198.015
1756328400000,4592.86,4594.77,4511.68,4525.65,202857.864
1756332000000,4525.64,4535.49,4479.01,4521.81,253159.596
1756335600000,4521.81,4537.86,4488.04,4504.84,153921.527
1756339200000,4504.86,4520.00,4465.00,4492.00,246765.807
1756342800000,4492.00,4521.40,4491.80,4514.22,125659.812
1756346400000,4514.22,4525.93,4504.83,4510.02,82322.840
1756350000000,4510.03,4547.11,4504.25,4539.38,141180.638
1756353600000,4539.39,4578.35,4532.28,4568.90,178731.313
1756357200000,4568.89,4585.99,4551.00,4568.13,158857.982
