openTime,open,high,low,close,volume
1779718200000,2118.94,2119.98,2117.81,2118.70,7206.725
1779718500000,2118.71,2122.97,2117.61,2122.00,17629.798
1779718800000,2121.99,2122.00,2120.09,2121.90,8378.398
1779719100000,2121.89,2127.95,2121.89,2126.76,46168.076
1779719400000,2126.75,2126.85,2123.66,2124.78,9876.253
1779719700000,2124.78,2124.79,2123.24,2123.53,5428.888
1779720000000,2123.54,2123.69,2121.70,2123.47,10310.686
1779720300000,2123.48,2129.61,2123.47,2127.38,22383.501
1779720600000,2127.38,2128.36,2125.45,2126.18,8512.949
1779720900000,2126.18,2128.59,2125.86,2127.54,7881.472
1779721200000,2127.55,2128.53,2126.64,2127.65,9782.316
1779721500000,2127.64,2131.40,2127.64,2128.36,16763.562
1779721800000,2128.35,2137.99,2126.91,2129.28,64548.357
1779722100000,2129.28,2130.91,2126.32,2129.40,18276.933
1779722400000,2129.40,2129.41,2123.82,2124.75,17002.973
1779722700000,2124.74,2126.42,2123.96,2123.96,6542.690
1779723000000,2123.96,2126.81,2121.63,2125.57,19376.467
1779723300000,2125.56,2126.25,2124.65,2125.64,3785.388
1779723600000,2125.65,2125.95,2123.93,2124.61,3472.301
1779723900000,2124.62,2124.63,2122.13,2124.00,3680.330
1779724200000,2124.00,2124.64,2122.75,2124.20,4991.325
1779724500000,2124.20,2127.22,2123.90,2126.00,5715.940
1779724800000,2126.01,2127.07,2125.13,2125.97,8117.794
1779725100000,2125.96,2127.00,2125.34,2125.35,5786.718
1779725400000,2125.34,2127.00,2123.88,2124.00,7009.591
1779725700000,2123.99,2126.88,2123.99,2125.31,8423.050
1779726000000,2125.31,2127.57,2124.51,2126.08,5156.505
1779726300000,2126.08,2127.00,2125.54,2126.46,2197.201
1779726600000,2126.46,2127.75,2126.10,2126.51,5002.881
1779726900000,2126.50,2129.00,2125.68,2128.08,7327.520
1779727200000,2128.09,2129.50,2127.06,2129.13,5704.930
1779727500000,2129.14,2135.49,2128.42,2135.30,23717.049
1779727800000,2135.30,2141.60,2133.85,2134.09,52179.556
1779728100000,2134.09,2136.55,2133.60,2135.50,10398.211
1779728400000,2135.49,2139.99,2135.31,2136.76,26039.846
