openTime,open,high,low,close,volume
1779718500000,63.15500,63.35600,62.96200,63.03500,134443.06
1779719400000,63.03500,63.25000,62.86100,62.94900,149985.67
1779720300000,62.94900,63.10900,62.58000,62.89000,220109.90
1779721200000,62.89100,63.16400,62.75900,62.97400,130809.07
1779722100000,62.97500,63.02800,62.64200,62.92600,153545.95
1779723000000,62.92500,63.16800,62.66100,62.84500,149470.60
1779723900000,62.84500,62.86300,62.47800,62.57400,163253.40
1779724800000,62.57500,62.67300,62.01300,62.09100,304367.15
1779725700000,62.09000,62.43300,62.07000,62.28600,179823.64
1779726600000,62.28600,62.46800,62.05900,62.36400,102237.39
1779727500000,62.36400,62.39500,61.80000,62.11000,282273.55
1779728400000,62.11100,62.17000,61.52400,62.01700,235944.30
1779729300000,62.01800,62.14100,61.73900,61.91200,174834.62
1779730200000,61.91200,61.98500,61.64200,61.83600,146097.34
1779731100000,61.83700,62.15000,61.82500,61.92900,93708.07
1779732000000,61.92800,62.33300,61.92800,62.02900,98492.36
1779732900000,62.02900,62.30400,62.00400,62.25200,64443.01
1779733800000,62.25200,62.29500,61.77100,61.82800,90486.97
1779734700000,61.82900,61.89300,61.52200,61.70300,109307.73
1779735600000,61.70300,61.87300,61.41000,61.83400,137861.48
1779736500000,61.83500,62.14200,61.76600,62.11900,62624.62
1779737400000,62.11900,62.13300,61.64200,61.80800,74262.96
1779738300000,61.81400,62.08400,61.81300,62.04300,54294.95
1779739200000,62.04200,62.04300,61.75100,61.88800,44325.34
1779740100000,61.88800,61.94100,61.51200,61.53600,106992.24
1779741000000,61.53600,61.86300,61.12500,61.27700,343130.38
1779741900000,61.27700,61.44900,61.00200,61.32000,239987.22
1779742800000,61.32000,61.65300,61.31200,61.50000,93106.77
1779743700000,61.49900,61.66800,61.46300,61.57900,65736.40
1779744600000,61.58000,61.70100,61.30100,61.30200,82038.30
1779745500000,61.30300,61.56900,61.27200,61.49400,48170.06
1779746400000,61.49400,61.85200,61.46600,61.77300,105490.63
1779747300000,61.77400,62.04700,61.73100,61.73100,96579.75
1779748200000,61.73100,61.73200,61.34500,61.46400,106203.68
1779749100000,61.46300,61.54300,61.23600,61.24600,71918.89
1779750000000,61.25100,61.72800,61.19800,61.70000,94189.71
1779750900000,61.70100,61.79000,61.58900,61.67500,52466.99
1779751800000,61.67600,61.71200,61.12400,61.17900,123197.60
1779752700000,61.18000,61.36900,61.09000,61.14600,93744.65
1779753600000,61.14700,61.30500,61.00500,61.07100,98776.50
1779754500000,61.07200,61.16500,60.40000,60.62400,467750.23
1779755400000,60.62400,60.72100,59.80200,60.06700,499849.87
1779756300000,60.06700,60.31200,59.60000,60.08800,576884.77
1779757200000,60.08800,60.39400,59.93900,60.21900,180622.66
1779758100000,60.21800,60.26800,59.44700,59.71900,343027.40
1779759000000,59.71900,59.73300,59.21500,59.50500,363840.57
1779759900000,59.50500,59.80200,59.26100,59.32300,199814.42
1779760800000,59.32300,59.50500,58.94600,59.39100,331572.97
1779761700000,59.39100,59.83300,59.11300,59.68300,231840.47
1779762600000,59.68300,59.72000,58.95400,59.07400,291273.03
1779763500000,59.07300,59.35000,58.82200,59.07200,235229.51
1779764400000,59.07300,59.11800,58.58100,58.87700,386650.50
1779765300000,58.87800,59.14200,58.83300,59.13000,138898.27
1779766200000,59.13200,59.47500,59.01500,59.16700,228926.83
1779767100000,59.16700,59.56800,59.15900,59.35500,136985.33
1779768000000,59.35500,59.38000,59.11800,59.29200,105432.10
1779768900000,59.29200,59.59100,59.00000,59.45800,170957.98
1779769800000,59.45700,59.78000,59.38600,59.61800,233784.46
1779770700000,59.61700,60.04900,59.52500,59.99600,237508.44
1779771600000,59.99700,60.00100,59.64000,59.86800,178640.96
1779772500000,59.86800,60.75400,59.86800,60.44000,444649.54
1779773400000,60.44100,60.51200,60.15800,60.16000,162788.65
1779774300000,60.15900,60.36100,60.00000,60.30900,123467.96
1779775200000,60.30200,60.49900,60.11700,60.23500,148801.28
1779776100000,60.23600,60.68000,60.20800,60.59000,134223.98
1779777000000,60.59100,60.80800,60.55200,60.70800,169122.05
1779777900000,60.70600,60.70600,60.34000,60.52500,164533.19
1779778800000,60.52600,60.62300,59.54600,59.85500,497150.33
1779779700000,59.85600,59.99500,59.53000,59.98300,235022.46
1779780600000,59.98300,59.98400,59.56700,59.77800,151088.52
1779781500000,59.77700,60.05700,59.65500,59.77100,229207.77
1779782400000,59.77200,60.01500,59.70500,59.72500,72425.67
1779783300000,59.72500,59.95900,59.25700,59.93000,253641.93
1779784200000,59.92900,60.28500,59.64700,59.72900,298605.23
1779785100000,59.72800,59.76900,59.48200,59.54600,110505.55
1779786000000,59.54700,59.75500,59.35400,59.72600,168489.64
1779786900000,59.72500,59.85000,59.45900,59.51600,123671.41
1779787800000,59.51600,59.64200,59.17900,59.43600,124243.87
1779788700000,59.43700,59.68900,59.31200,59.68900,96271.90
1779789600000,59.68800,60.38300,59.61700,60.34400,209843.89
1779790500000,60.34400,61.70100,60.29600,61.58400,935547.03
1779791400000,61.58600,61.84500,61.43900,61.58200,416243.36
1779792300000,61.58000,61.72900,61.18000,61.43900,279899.12
1779793200000,61.43800,61.73500,61.07600,61.08200,250918.80
1779794100000,61.08100,61.34800,61.02700,61.20100,204339.43
1779795000000,61.20100,61.43000,60.87600,61.10100,329978.30
1779795900000,61.10100,61.35000,61.05400,61.17800,135432.09
1779796800000,61.17500,61.48600,60.43400,60.78400,463029.46
1779797700000,60.78300,60.94400,60.58000,60.86400,115031.97
1779798600000,60.86500,61.38100,60.65200,61.33600,180305.86
1779799500000,61.33700,62.22200,61.30800,62.15300,570993.76
1779800400000,62.15300,62.24800,61.76600,62.09100,235020.06
1779801300000,62.09100,62.12200,61.83800,61.96900,163130.33
1779802200000,61.96900,63.13500,61.86500,63.04200,659198.15
1779803100000,63.03800,63.99900,63.00000,63.62700,1164507.09
1779804000000,63.62900,64.75000,63.47300,64.28200,976517.42
1779804900000,64.28300,64.78700,64.01000,64.13100,865289.42
1779805800000,64.13200,64.64100,63.30000,63.64000,1147041.15
1779806700000,63.64000,64.04800,63.34500,63.50900,397953.24
1779807600000,63.50900,63.62500,62.77000,63.17900,731404.13
1779808500000,63.17900,63.27600,62.82400,63.07900,384331.07
1779809400000,63.07500,63.11000,62.47100,62.67700,477947.97
1779810300000,62.67800,62.96900,61.82300,62.52300,670589.81
1779811200000,62.52300,62.70900,62.07800,62.30600,345250.45
1779812100000,62.30800,63.66000,62.27400,63.38400,655750.25
1779813000000,63.38400,63.62000,62.84000,63.10600,334177.12
1779813900000,63.10800,63.11300,62.49100,62.79800,246454.67
1779814800000,62.79800,62.99700,62.48800,62.93100,128744.67
1779815700000,62.93200,62.99200,60.76400,61.31600,884844.48
1779816600000,61.31600,61.62500,60.93800,61.47400,613859.16
1779817500000,61.47400,61.83800,61.25600,61.51500,251816.63
1779818400000,61.51400,61.85200,61.30600,61.78100,173410.90
1779819300000,61.78100,62.09700,61.48200,61.50700,309671.84
1779820200000,61.50800,61.66600,61.07700,61.19200,225483.42
1779821100000,61.19200,61.83000,61.09400,61.73300,208836.46
1779822000000,61.72300,61.77100,60.43700,60.48300,596770.90
1779822900000,60.48100,60.65000,60.15700,60.59300,303782.67
1779823800000,60.59300,60.94300,60.55800,60.85500,145523.88
1779824700000,60.85600,61.02500,60.62300,60.80700,132133.11
