openTime,open,high,low,close,volume
1756107900000,44.43000,44.43800,44.05200,44.28700,161862.82
1756108800000,44.28700,44.70100,43.90200,44.65000,193527.75
1756109700000,44.64900,45.20000,44.61700,44.94300,257972.22
1756110600000,44.94400,45.34200,44.86500,45.14900,144806.29
1756111500000,45.14900,45.31100,45.07000,45.15000,58217.88
1756112400000,45.15600,45.17900,44.85600,45.10700,79772.83
1756113300000,45.10600,45.22700,44.89700,44.89700,83623.73
1756114200000,44.89700,45.24700,44.78400,45.23500,92295.55
1756115100000,45.23300,45.83500,45.20400,45.82900,164805.99
1756116000000,45.82800,46.05200,45.52900,45.98400,254099.92
1756116900000,45.98400,46.04200,44.90000,45.06300,321335.72
1756117800000,45.06400,45.23200,44.61400,45.08600,259820.30
1756118700000,45.08300,45.20000,44.86600,45.05300,201127.60
1756119600000,45.05200,45.26100,44.84500,45.26000,92945.23
1756120500000,45.26000,45.39000,45.14800,45.19200,78439.50
1756121400000,45.19000,45.57700,44.99200,45.43100,143658.75
1756122300000,45.43200,45.68300,45.32000,45.65800,100384.45
1756123200000,45.65700,45.75400,45.39100,45.64700,139780.96
1756124100000,45.64900,46.05900,45.62900,45.82700,140187.31
1756125000000,45.82600,45.88200,45.53600,45.82300,98792.78
1756125900000,45.82300,45.83200,45.58700,45.80500,57097.13
1756126800000,45.80400,45.80900,45.53600,45.62300,57824.39
1756127700000,45.62200,46.00000,45.42000,45.75200,125844.28
1756128600000,45.75900,45.84500,45.31000,45.41800,171057.51
1756129500000,45.42000,45.66000,45.10700,45.52300,239048.01
1756130400000,45.53600,46.34900,45.33300,46.29300,199264.14
1756131300000,46.29200,46.71800,46.10600,46.25700,248867.83
1756132200000,46.25900,46.54500,46.06300,46.27300,135333.33
1756133100000,46.27200,46.55600,46.15600,46.30100,93874.58
1756134000000,46.30100,46.40000,45.98500,46.14800,60954.02
1756134900000,46.14800,46.41600,46.12000,46.36800,71519.73
1756135800000,46.36800,46.44100,45.86600,46.04600,128074.23
1756136700000,46.04400,46.04400,45.50000,45.83200,150904.16
1756137600000,45.82300,46.47200,45.57200,46.40300,157207.62
1756138500000,46.40900,46.82500,46.35800,46.37300,185331.34
1756139400000,46.37300,46.46100,46.08400,46.16000,98698.36
1756140300000,46.15900,46.26200,45.85200,45.85600,90596.06
1756141200000,45.85200,45.97000,45.26000,45.79300,233523.41
1756142100000,45.79100,45.93800,45.71600,45.84800,63474.27
1756143000000,45.84700,45.91900,45.25000,45.38800,159386.79
1756143900000,45.39000,45.62400,45.33700,45.51400,60759.06
1756144800000,45.51500,45.67300,45.32600,45.58200,32497.14
1756145700000,45.58400,45.67800,45.38500,45.42100,53597.43
1756146600000,45.42200,45.47500,45.21500,45.24600,45373.83
1756147500000,45.24500,45.32100,45.10700,45.13400,46127.30
1756148400000,45.13500,45.14000,44.80000,44.81400,98683.22
1756149300000,44.81500,44.86300,44.44300,44.50800,232223.94
1756150200000,44.50400,44.56500,43.88200,43.93300,180863.70
1756151100000,43.93300,44.39700,43.81200,44.00300,227163.94
1756152000000,44.00600,44.32400,43.67000,43.76600,246868.94
1756152900000,43.76600,44.24200,43.73900,43.96000,186514.30
1756153800000,43.96100,44.01700,43.51800,43.86500,269843.86
1756154700000,43.86000,43.94400,43.23000,43.27100,191648.94
1756155600000,43.27200,43.34300,42.54200,42.65800,480816.67
1756156500000,42.65500,43.14900,42.64000,42.69500,212727.79
1756157400000,42.69600,43.12300,42.55000,42.85500,160616.48
1756158300000,42.85300,43.22800,42.81000,42.84200,69151.65
1756159200000,42.84300,43.21800,42.69400,43.12400,100371.17
1756160100000,43.12000,43.50000,43.07100,43.49700,96347.80
1756161000000,43.49800,43.61800,43.37800,43.55400,77592.44
1756161900000,43.55200,43.59700,43.04700,43.13500,87489.48
1756162800000,43.13900,43.19800,42.98400,43.14400,49664.07
1756163700000,43.14200,43.35700,42.88000,43.07800,114629.80
1756164600000,43.07800,43.26100,42.93100,43.25700,52907.70
1756165500000,43.25900,43.32800,42.97400,42.97600,50332.42
1756166400000,42.97900,43.10300,42.71000,42.88000,125905.64
1756167300000,42.87900,43.13800,42.82600,43.00900,72203.50
1756168200000,43.00400,43.11200,42.57300,42.60900,97129.89
1756169100000,42.60900,42.86600,42.35700,42.63600,158640.13
1756170000000,42.63600,43.06500,42.45600,42.87200,251112.23
1756170900000,42.87200,43.26100,42.79800,43.25200,67908.65
1756171800000,43.25200,43.34300,43.18700,43.28000,57683.70
1756172700000,43.27900,44.14200,43.27300,44.10100,267619.51
1756173600000,44.10100,44.29500,43.88500,44.14700,114257.81
1756174500000,44.14900,44.16400,43.83800,44.03500,56813.76
1756175400000,44.03600,44.18200,43.77400,43.84000,125530.81
1756176300000,43.83900,43.98600,43.61100,43.96500,91427.28
1756177200000,43.96500,44.32300,43.90200,44.30000,97612.65
1756178100000,44.30100,44.36000,44.01800,44.02200,94069.35
1756179000000,44.02200,44.33600,44.02200,44.14900,49365.89
1756179900000,44.14900,44.19000,43.98900,44.09800,41199.17
1756180800000,44.10000,44.66000,44.09600,44.64000,107471.54
1756181700000,44.64000,44.76100,44.45500,44.69200,67427.06
1756182600000,44.69500,45.42300,44.53200,45.37800,246374.59
1756183500000,45.37900,45.47800,45.17600,45.35700,113039.77
1756184400000,45.35700,45.60200,45.28900,45.59800,95532.33
1756185300000,45.59600,45.61200,45.42500,45.52600,60735.63
1756186200000,45.52600,45.53200,45.22000,45.32900,73943.03
1756187100000,45.33200,45.42100,45.10600,45.11400,39201.24
1756188000000,45.11700,45.35000,45.04300,45.25200,36443.55
1756188900000,45.25200,45.36900,44.91300,44.92000,67786.02
1756189800000,44.92100,45.05700,44.81600,44.88400,66049.88
1756190700000,44.88500,44.94800,44.77000,44.93100,48160.65
1756191600000,44.92600,45.17900,44.83800,45.08100,66435.72
1756192500000,45.08100,45.09900,44.78300,44.93300,52402.09
1756193400000,44.92900,45.51400,44.91800,45.35300,96742.17
1756194300000,45.35300,45.57600,45.31200,45.52300,74810.02
1756195200000,45.52000,45.86800,45.42400,45.45600,105098.77
1756196100000,45.45500,45.60800,45.16300,45.19100,72501.55
1756197000000,45.18500,45.46300,45.10800,45.46300,49219.64
1756197900000,45.46300,45.55800,45.28200,45.36800,38768.78
1756198800000,45.36800,45.51900,45.34600,45.40100,28474.86
1756199700000,45.40100,45.43600,45.17900,45.19900,31671.36
1756200600000,45.19800,45.28100,45.01700,45.07300,34379.10
1756201500000,45.07300,45.24000,45.07100,45.24000,20271.74
1756202400000,45.24000,45.43800,45.18900,45.41300,39877.74
1756203300000,45.42000,45.48100,45.25000,45.38800,23485.32
1756204200000,45.38800,45.69500,45.37900,45.52000,169110.66
1756205100000,45.52100,45.59800,45.34800,45.40900,64101.72
1756206000000,45.40900,45.54400,45.38800,45.42000,47276.96
1756206900000,45.42000,45.42000,44.96400,45.04700,92302.13
1756207800000,45.05200,45.10400,44.88100,44.97200,105988.78
1756208700000,44.97000,45.26400,44.90900,45.25000,39003.76
1756209600000,45.25000,45.27000,44.69700,44.73800,121914.76
1756210500000,44.73700,45.13700,44.65500,45.11600,125566.20
1756211400000,45.11600,46.31000,45.10900,45.88700,271033.10
1756212300000,45.89100,45.98500,45.32400,45.86600,213742.87
1756213200000,45.86700,45.87500,45.44000,45.48000,101444.98
1756214100000,45.48000,45.62800,45.20500,45.22000,87855.00
1756215000000,45.21900,45.69000,45.18400,45.54100,164131.35
1756215900000,45.54900,45.63300,45.12000,45.55500,143381.82
1756216800000,45.55800,45.63700,45.10200,45.20900,82054.95
1756217700000,45.20900,45.68100,45.11600,45.61400,75051.08
1756218600000,45.61300,46.50000,45.57600,46.47500,209825.52
1756219500000,46.48000,46.72100,46.33400,46.65300,147608.16
1756220400000,46.65100,46.99300,46.46900,46.49000,288358.28
1756221300000,46.48900,47.04300,46.45400,46.71500,149041.57
1756222200000,46.71000,46.72200,46.30000,46.46500,100561.33
1756223100000,46.46500,46.68800,46.45800,46.55000,57544.58
1756224000000,46.55000,47.22700,46.55000,46.67500,205884.91
1756224900000,46.67600,46.86800,46.54100,46.72300,63083.22
1756225800000,46.72200,47.27400,46.66400,47.05400,145578.10
1756226700000,47.05300,47.62800,46.92100,47.56900,165909.51
1756227600000,47.56800,47.59700,47.12000,47.39000,170034.71
1756228500000,47.38500,47.71200,47.20600,47.69300,142702.59
1756229400000,47.69200,47.78400,47.29900,47.36400,146500.34
