openTime,open,high,low,close,volume
1779721200000,62.89100,63.16800,62.47800,62.57400,597079.02
1779724800000,62.57500,62.67300,61.80000,62.11000,868701.73
1779728400000,62.11100,62.17000,61.52400,61.92900,650584.33
1779732000000,61.92800,62.33300,61.52200,61.70300,362730.07
1779735600000,61.70300,62.14200,61.41000,62.04300,329044.01
1779739200000,62.04200,62.04300,61.00200,61.32000,734435.18
1779742800000,61.32000,61.70100,61.27200,61.49400,289051.53
1779746400000,61.49400,62.04700,61.23600,61.24600,380192.95
1779750000000,61.25100,61.79000,61.09000,61.14600,363598.95
1779753600000,61.14700,61.30500,59.60000,60.08800,1643261.37
1779757200000,60.08800,60.39400,59.21500,59.32300,1087305.05
1779760800000,59.32300,59.83300,58.82200,59.07200,1089915.98
1779764400000,59.07300,59.56800,58.58100,59.35500,891460.93
1779768000000,59.35500,60.04900,59.00000,59.99600,747682.98
1779771600000,59.99700,60.75400,59.64000,60.30900,909547.11
1779775200000,60.30200,60.80800,60.11700,60.52500,616680.50
1779778800000,60.52600,60.62300,59.53000,59.77100,1112469.08
1779782400000,59.77200,60.28500,59.25700,59.54600,735178.38
1779786000000,59.54700,59.85000,59.17900,59.68900,512676.82
1779789600000,59.68800,61.84500,59.61700,61.43900,1841533.40
1779793200000,61.43800,61.73500,60.87600,61.17800,920668.62
1779796800000,61.17500,62.22200,60.43400,62.15300,1329361.05
1779800400000,62.15300,63.99900,61.76600,63.62700,2221855.63
1779804000000,63.62900,64.78700,63.30000,63.50900,3386801.23
1779807600000,63.50900,63.62500,61.82300,62.52300,2264272.98
1779811200000,62.52300,63.66000,62.07800,62.79800,1581632.49
1779814800000,62.79800,62.99700,60.76400,61.51500,1879264.94
1779818400000,61.51400,62.09700,61.07700,61.73300,917402.62
1779822000000,61.72300,61.77100,60.15700,60.80700,1178210.56
1779825600000,60.80800,60.86900,59.33000,59.72100,1318322.57
1779829200000,59.72200,59.84600,58.70600,59.07200,789602.92
1779832800000,59.07300,59.84400,58.89000,59.74800,686426.02
1779836400000,59.74800,60.02400,59.34200,59.57700,562604.35
1779840000000,59.57800,60.84700,59.40100,60.77500,856935.04
1779843600000,60.77500,60.82800,59.86800,60.09500,584490.43
1779847200000,60.09500,60.73400,59.72100,60.70600,598830.36
1779850800000,60.70600,61.18200,59.90400,60.11200,1071231.28
1779854400000,60.11200,60.90000,59.56600,60.78100,833490.55
1779858000000,60.78100,62.11100,60.68500,61.88100,1065677.49
