openTime,open,high,low,close,volume
1779721200000,86.2900,86.4900,86.0100,86.2100,529057.17
1779724800000,86.2100,86.4100,85.9200,86.2100,513244.96
1779728400000,86.2100,86.3500,86.0200,86.0900,547110.80
1779732000000,86.1000,86.2800,85.8300,85.8700,234866.59
1779735600000,85.8600,85.9100,85.4600,85.6000,390178.30
1779739200000,85.5900,85.8500,85.2500,85.3700,400575.75
1779742800000,85.3600,85.5300,85.2200,85.3400,237705.03
1779746400000,85.3400,85.5100,84.6400,84.7600,855810.10
1779750000000,84.7500,85.1700,84.6800,85.0100,519685.09
1779753600000,85.0100,85.0400,83.8400,84.3400,1279252.71
1779757200000,84.3300,84.5000,83.7900,84.0500,969199.17
1779760800000,84.0500,84.1700,83.8400,83.9600,395119.18
1779764400000,83.9700,84.2200,83.7800,84.1600,404093.04
1779768000000,84.1600,84.4700,83.9500,84.3100,417281.56
1779771600000,84.3100,84.9300,84.2200,84.6000,573844.50
1779775200000,84.6000,84.7900,84.3500,84.5600,327384.72
1779778800000,84.5500,84.5900,84.0400,84.3000,511663.00
1779782400000,84.3100,84.5400,84.2900,84.4000,301707.00
1779786000000,84.3900,84.6700,84.2500,84.4300,394257.32
1779789600000,84.4400,85.7800,84.3100,85.5100,1317661.80
1779793200000,85.5200,85.6200,85.1600,85.1900,611192.58
1779796800000,85.1800,85.3800,84.7600,85.2800,951720.85
1779800400000,85.2900,85.7300,84.6400,85.4800,1169363.42
1779804000000,85.4800,86.1000,84.7000,85.1900,2087053.64
1779807600000,85.1800,85.3100,83.9600,84.4400,1603582.27
1779811200000,84.4400,84.5200,83.8600,84.1700,1112265.20
1779814800000,84.1700,84.3500,83.0800,83.5300,1694117.44
1779818400000,83.5200,84.0500,83.4200,83.5600,816390.73
1779822000000,83.5500,83.9700,83.2900,83.7300,492581.75
1779825600000,83.7400,83.9100,83.6700,83.8700,362475.21
1779829200000,83.8700,83.9200,83.5100,83.6300,285429.24
1779832800000,83.6400,83.8300,83.4700,83.6100,265101.36
1779836400000,83.6000,83.8000,83.5600,83.6600,235637.06
1779840000000,83.6700,84.1500,83.6600,84.0900,426282.12
1779843600000,84.0800,84.1500,83.7500,83.8100,272539.19
1779847200000,83.8200,83.9200,83.5000,83.9000,291391.15
1779850800000,83.9000,84.0300,83.4200,83.5700,341692.68
1779854400000,83.5700,83.6300,82.6800,83.5900,1174485.13
1779858000000,83.6000,83.8900,83.5100,83.8300,345380.32
1779861600000,83.8300,84.0100,83.6900,84.0000,275260.47
1779865200000,84.0000,84.1700,83.8200,84.1700,446003.76
1779868800000,84.1600,84.3800,83.8400,83.8900,660168.88
1779872400000,83.8800,83.9200,83.5600,83.7300,462088.42
1779876000000,83.7400,84.0600,83.6100,83.9000,368712.58
1779879600000,83.9100,84.1900,83.8300,83.8900,478775.00
1779883200000,83.8800,84.6700,83.4900,83.8900,1395535.53
1779886800000,83.8800,84.0100,82.9100,83.5900,1709139.97
1779890400000,83.5900,84.0900,83.1800,83.8700,1661099.99
1779894000000,83.8600,84.8200,83.8400,84.3900,1421051.31
1779897600000,84.3900,84.7200,83.8100,84.1400,794540.08
1779901200000,84.1400,84.1700,83.1100,83.3700,1251777.50
1779904800000,83.3700,83.9700,83.1400,83.9000,544508.99
1779908400000,83.9100,84.1100,83.8300,83.8900,526478.38
1779912000000,83.8900,84.1000,83.7100,83.7800,408376.03
1779915600000,83.7700,83.7700,82.0500,82.4300,1346040.17
1779919200000,82.4300,82.9700,82.1600,82.4000,1057356.68
1779922800000,82.4000,82.6400,82.1300,82.3800,554792.33
1779926400000,82.3700,82.6900,82.3100,82.6600,416563.55
1779930000000,82.6600,82.7100,81.8400,82.2400,882886.97
1779933600000,82.2400,82.4100,81.9600,82.0600,497054.80
1779937200000,82.0700,82.2100,80.4500,80.6600,3053749.90
1779940800000,80.6600,80.8900,79.9100,80.8300,2018766.88
1779944400000,80.8300,80.9300,80.3500,80.6400,699830.65
1779948000000,80.6500,81.0700,80.4600,80.9000,603159.97
1779951600000,80.9000,81.2400,80.7800,81.1900,625819.24
1779955200000,81.2000,81.2300,80.7600,80.9200,373119.37
1779958800000,80.9300,81.2600,80.7700,81.1700,365450.26
1779962400000,81.1600,81.2800,80.6700,80.7000,464293.33
1779966000000,80.6900,80.9000,80.5400,80.8300,459887.38
