symbol,entryTime,direction,R_sl,outcome,MFE_R,MAE_R,barsToMFE,barsToOutcome
BTCUSDT,2026-06-02T23:15:00.000Z,SHORT,557.40000000,TP,1.8511,0.8323,17,17
BTCUSDT,2026-06-03T04:00:00.000Z,SHORT,561.80000000,SL,0.0000,2.1461,0,4
BTCUSDT,2026-06-03T07:15:00.000Z,SHORT,341.30000000,TP,1.5602,0.4729,10,10
BTCUSDT,2026-06-04T02:15:00.000Z,SHORT,474.20000000,SL,0.0000,1.6904,0,1
BTCUSDT,2026-06-04T09:45:00.000Z,SHORT,487.30000000,TP,1.5783,0.2483,3,3
BTCUSDT,2026-06-04T11:30:00.000Z,SHORT,462.90000000,SL,1.2685,1.2929,1,3
BTCUSDT,2026-06-05T07:30:00.000Z,SHORT,698.40000000,TP,1.7755,0.5467,18,18
BTCUSDT,2026-06-05T16:15:00.000Z,SHORT,665.10000000,TP,1.5392,0.0000,4,4
BTCUSDT,2026-06-05T19:45:00.000Z,SHORT,360.70000000,SL,1.8533,1.0513,1,1
BTCUSDT,2026-06-05T23:45:00.000Z,SHORT,474.00000000,TP,1.6477,0.4831,15,15
BTCUSDT,2026-06-09T17:15:00.000Z,SHORT,471.60000000,TP,1.5829,0.7489,45,45
BTCUSDT,2026-06-12T15:30:00.000Z,LONG,554.00000000,SL,0.1720,1.1475,6,21
BTCUSDT,2026-06-16T04:15:00.000Z,LONG,371.50000000,TP,1.5206,0.5650,9,9
BTCUSDT,2026-06-24T16:15:00.000Z,SHORT,328.90000000,TP,2.0882,0.0000,1,1
BTCUSDT,2026-06-26T01:45:00.000Z,SHORT,344.00000000,TP,2.3177,0.0436,1,1
BTCUSDT,2026-06-29T13:00:00.000Z,SHORT,358.30000000,TP,2.6871,0.0000,2,2
BTCUSDT,2026-07-02T05:00:00.000Z,LONG,431.80000000,SL,0.3752,1.0614,1,7
BTCUSDT,2026-07-06T01:15:00.000Z,LONG,319.30000000,SL,0.8531,1.4510,1,8
BTCUSDT,2026-07-14T13:30:00.000Z,LONG,749.70000000,TP,1.7095,0.1579,8,8
BTCUSDT,2026-07-15T13:30:00.000Z,LONG,479.60000000,SL,0.7264,1.0202,9,12
BTCUSDT,2026-07-20T16:15:00.000Z,LONG,530.00000000,TP,1.5379,0.5634,61,61
BTCUSDT,2026-07-27T15:00:00.000Z,SHORT,522.60000000,TP,2.0859,0.4286,31,31
BTCUSDT,2026-07-27T23:15:00.000Z,SHORT,513.30000000,TP,2.0316,0.0000,7,7
BTCUSDT,2026-08-20T07:00:00.000Z,LONG,358.50000000,TP,4.7091,0.5768,4,4
BTCUSDT,2026-08-21T15:45:00.000Z,LONG,388.90000000,SL,0.1977,1.0211,1,1
BTCUSDT,2026-08-21T20:45:00.000Z,LONG,457.70000000,TP,1.9930,0.0000,2,2
ETHUSDT,2026-06-02T23:15:00.000Z,SHORT,13.53000000,TP,3.6438,0.0000,1,1
ETHUSDT,2026-06-03T04:00:00.000Z,SHORT,14.20000000,SL,0.2282,2.2824,1,4
ETHUSDT,2026-06-03T21:00:00.000Z,SHORT,14.87000000,SL,0.0000,2.9428,0,2
ETHUSDT,2026-06-04T02:15:00.000Z,SHORT,16.88000000,SL,0.5906,1.4757,1,3
ETHUSDT,2026-06-04T09:45:00.000Z,SHORT,16.29000000,TP,1.7330,0.5758,4,4
ETHUSDT,2026-06-04T15:00:00.000Z,SHORT,11.38000000,TP,1.5387,0.9130,9,9
ETHUSDT,2026-06-04T23:00:00.000Z,SHORT,10.44000000,TP,2.5307,0.2385,8,8
ETHUSDT,2026-06-05T04:45:00.000Z,SHORT,12.18000000,TP,3.7406,0.4105,3,3
ETHUSDT,2026-06-05T19:45:00.000Z,SHORT,10.32000000,TP,3.0572,0.4331,1,1
