symbol,entryTimestampUtc,closeTime,distanceFromEma200H1Pct,slPct,fvgGapSizePct,waitedCandlesCount,breaksKeyZone,atrH1Pct,hourOfDayUtc,dayOfWeekUtc,trendAgeH1Candles,atrPercentileH1,momentumM15Pct3Candles,keyZoneDistancePct,rollingWinRateSameSymbol20,concurrentOpenPositionsCount,won
SOLUSDT,1693980000000,1694008800000,-1.3264898936303933,0.5588842455062718,0.1812597552993372,1,false,1.1330621930171618,6,3,1,88,-1.188217673489763,0.30281887690880144,,0,true
SOLUSDT,1694135700000,1694153700000,1.3022125332059546,0.5968502357307642,0.5466947537365923,2,false,0.9755280223336202,1,5,0,63,1.050251256281423,0.8629131259284667,,0,false
SOLUSDT,1694399400000,1694421900000,-6.584607880596033,1.0825807855510718,0.11968229790013064,14,false,1.455048982179067,2,1,68,98,-0.8226888936999214,1.3083451202263128,,1,true
SOLUSDT,1694428200000,1694430000000,-8.121248702447009,0.545219493002087,0.6295317857343706,1,true,1.4655103921556019,10,1,76,94,-1.185992917767422,0.23326400989265783,,1,true
BTCUSDT,1694390400000,1694441700000,-0.4329345959521609,0.6669295722371718,0.033636447991094956,4,false,0.36691384482332695,0,1,61,53,-0.13797634691196076,0.035459112660550546,,0,true
SOLUSDT,1694441700000,1694489400000,-8.845695579418415,1.5565080081209102,0.5752312203925125,1,false,1.5825695381035672,14,1,80,100,-0.7165425411870847,0.09869163094968585,,0,false
SOLUSDT,1694519100000,1694524500000,-3.773386808812,0.6217277486911037,0.04908376963349034,1,false,1.5989898337373096,11,2,102,94,-0.2559355260291908,0.8726003490401211,,0,true
SOLUSDT,1694583900000,1694588400000,-5.642683039305604,0.7197076187798713,0.1405678942929355,1,false,1.3261617379497344,5,3,120,40,-0.755498349096189,0.06634804610627451,,0,false
SOLUSDT,1694602800000,1694616300000,-3.7845478555070486,0.6340280074980617,0.11026574043446423,2,false,1.4991917687341882,11,3,125,69,-0.828714121069095,0.20950490682545073,,0,false
SOLUSDT,1694691900000,1694698200000,0.45860964016445177,0.5594927265945565,0.13854105610912668,2,false,1.3231976793366165,11,4,1,20,0.400256163944921,0.4955507006980336,,1,true
