candidate,scenario,scope,trades,wins,winRate,pf,netPnl,expectancy,maxDd,averageWin,averageLoss
CURRENT_ENTRY,FEE_ONLY,PORTFOLIO,268,118,44.02985074626866,1.514715732761231,776.8433129478103,2.898669078163471,390.23946850393736,19.373813628302507,-10.061777967945892
CURRENT_ENTRY,FEE_ONLY,MOMENTUM_DIRECT,,,,,,,,,
OVEREXTENSION_GUARD,FEE_ONLY,PORTFOLIO,138,62,44.927536231884055,0.8877856140400682,-50.627925031546226,-0.3668690219677263,121.76705719837733,6.46037911978694,-5.936466190241271
OVEREXTENSION_GUARD,FEE_ONLY,MOMENTUM_DIRECT,17,3,17.647058823529413,0.5285890326555762,-60.99714566929143,-3.5880673923112605,96.20521653543322,22.79852362204728,-9.242336895388089
BREAKOUT_PULLBACK_CONTINUATION,FEE_ONLY,PORTFOLIO,116,54,46.55172413793103,0.8572655983548843,-47.85783321307031,-0.41256752769888194,112.09995317969725,5.322871834953715,-5.407950198396304
BREAKOUT_PULLBACK_CONTINUATION,FEE_ONLY,MOMENTUM_DIRECT,0,0,0,,0,0,0,0,0
CURRENT_ENTRY,LIGHT,PORTFOLIO,265,114,43.0188679245283,1.4437866008563573,669.0184537123339,2.524597938537109,404.4316130849483,19.092467821475086,-9.983595218118055
CURRENT_ENTRY,LIGHT,MOMENTUM_DIRECT,,,,,,,,,
OVEREXTENSION_GUARD,LIGHT,PORTFOLIO,135,59,43.7037037037037,0.8602017611341286,-61.96079915240749,-0.45896888261042584,121.7020909826314,6.461950485379785,-5.831787865655457
OVEREXTENSION_GUARD,LIGHT,MOMENTUM_DIRECT,16,3,18.75,0.5809058940519649,-48.93200449734887,-3.0582502810843044,83.2299336086905,22.608199778891443,-8.981277218001786
BREAKOUT_PULLBACK_CONTINUATION,LIGHT,PORTFOLIO,115,53,46.08695652173913,0.8190699302938402,-59.93299433269601,-0.5211564724582262,119.67428616291994,5.119179269575861,-5.342733800326076
BREAKOUT_PULLBACK_CONTINUATION,LIGHT,MOMENTUM_DIRECT,0,0,0,,0,0,0,0,0
CURRENT_ENTRY,CENTRAL,PORTFOLIO,264,110,41.66666666666667,1.3947839228431962,606.6195245715165,2.2978012294375625,418.62705922760574,19.483688330328338,-9.977832414055849
CURRENT_ENTRY,CENTRAL,MOMENTUM_DIRECT,,,,,,,,,
OVEREXTENSION_GUARD,CENTRAL,PORTFOLIO,97,37,38.144329896907216,0.6978358014828496,-87.60022253430397,-0.9030950776732368,136.63574592399235,5.4678139113709365,-4.83182228758381
OVEREXTENSION_GUARD,CENTRAL,MOMENTUM_DIRECT,2,0,0,0,-20.87010523432614,-10.43505261716307,20.870105234326147,0,-10.43505261716307
BREAKOUT_PULLBACK_CONTINUATION,CENTRAL,PORTFOLIO,114,48,42.10526315789473,0.7711081175722452,-74.40944061128715,-0.6527143913270803,123.4449640009755,5.222418683622711,-4.925538445836019
BREAKOUT_PULLBACK_CONTINUATION,CENTRAL,MOMENTUM_DIRECT,0,0,0,,0,0,0,0,0
CURRENT_ENTRY,CONSERVATIVE,PORTFOLIO,112,31,27.67857142857143,0.7887581825732868,-95.2048619530208,-0.8500434102948285,194.1333162515723,11.46730638374146,-5.564090862333409
CURRENT_ENTRY,CONSERVATIVE,MOMENTUM_DIRECT,,,,,,,,,
OVEREXTENSION_GUARD,CONSERVATIVE,PORTFOLIO,72,18,25,0.6316819598434585,-98.45184125559958,-1.3673866841055498,130.9244131527393,9.380517990512017,-4.950021575644737
OVEREXTENSION_GUARD,CONSERVATIVE,MOMENTUM_DIRECT,2,0,0,0,-22.2198285278922,-11.1099142639461,22.219828527892204,0,-11.1099142639461
BREAKOUT_PULLBACK_CONTINUATION,CONSERVATIVE,PORTFOLIO,85,19,22.35294117647059,0.6413292043577634,-96.62297739781425,-1.1367409105625206,129.09554929495397,9.093096829226146,-4.081694199289561
BREAKOUT_PULLBACK_CONTINUATION,CONSERVATIVE,MOMENTUM_DIRECT,0,0,0,,0,0,0,0,0
CURRENT_ENTRY,CENTRAL,SHORT_ETH_XRP,91,38,41.75824175824176,1.4114068541872127,253.56738914217206,2.7864548257381547,,22.892356555964888,-11.62909735819799
OVEREXTENSION_GUARD,CENTRAL,SHORT_ETH_XRP,26,9,34.61538461538461,0.7226056874423324,-19.55231998854787,-0.7520123072518411,,5.6592595156718595,-4.146215037034978
BREAKOUT_PULLBACK_CONTINUATION,CENTRAL,SHORT_ETH_XRP,32,14,43.75,1.0203011784643832,1.6417864874572299,0.051305827733038434,,5.893805239217842,-4.492860381199588
